date_string,yield,term
1990-02-08,8.39000034332,BC_3YEAR
1990-02-08,8.44999980927,BC_5YEAR
1990-02-08,8.18000030518,BC_6MONTH
1990-02-08,8.47999954224,BC_7YEAR
1990-02-09,8.31000041962,BC_10YEAR
1990-02-09,8.02999973297,BC_1YEAR
1990-02-09,8.25,BC_2YEAR
1990-02-09,8.35999965668,BC_30YEAR
1990-02-09,0.0,BC_30YEARDISPLAY
1990-02-09,8.02000045776,BC_3MONTH
1990-02-09,8.23999977112,BC_3YEAR
1990-02-09,8.28999996185,BC_5YEAR
1990-02-09,8.09000015259,BC_6MONTH
1990-02-09,8.34000015259,BC_7YEAR
1990-02-12,8.39999961853,BC_10YEAR
1990-02-12,8.06000041962,BC_1YEAR
1990-02-12,8.31999969482,BC_2YEAR
1990-02-12,8.43000030518,BC_30YEAR
1990-02-12,0.0,BC_30YEARDISPLAY
1990-02-12,7.98999977112,BC_3MONTH
1990-02-12,8.31999969482,BC_3YEAR
1990-02-12,8.36999988556,BC_5YEAR
1990-02-12,8.10999965668,BC_6MONTH
1990-02-12,8.40999984741,BC_7YEAR
1990-02-13,8.35000038147,BC_10YEAR
1990-02-13,7.94999980927,BC_1YEAR
1990-02-13,8.21000003815,BC_2YEAR
1990-02-13,8.39000034332,BC_30YEAR
1990-02-13,0.0,BC_30YEARDISPLAY
1990-02-13,7.84000015259,BC_3MONTH
1990-02-13,8.21000003815,BC_3YEAR
1990-02-13,8.28999996185,BC_5YEAR
1990-02-13,7.96999979019,BC_6MONTH
1990-02-13,8.35999965668,BC_7YEAR
1990-02-14,8.35999965668,BC_10YEAR
1990-02-14,8.02999973297,BC_1YEAR
1990-02-14,8.27000045776,BC_2YEAR
1990-02-14,8.40999984741,BC_30YEAR
1990-02-14,0.0,BC_30YEARDISPLAY
1990-02-14,7.86999988556,BC_3MONTH
1990-02-14,8.27000045776,BC_3YEAR
1990-02-14,8.34000015259,BC_5YEAR
1990-02-14,8.0,BC_6MONTH
1990-02-14,8.35999965668,BC_7YEAR
1990-02-15,8.43000030518,BC_10YEAR
1990-02-15,8.10999965668,BC_1YEAR
1990-02-15,8.35000038147,BC_2YEAR
1990-02-15,8.47000026703,BC_30YEAR
1990-02-15,0.0,BC_30YEARDISPLAY
1990-02-15,7.96999979019,BC_3MONTH
